"","species","n.occurrences"
"574","Heisteria perianthomega (Vell.) Sleumer",2
"575","Heisteria silvianii Schwacke",21
"576","Helicostylis tomentosa (Poepp. & Endl.) Rusby",15
"577","Helicteres brevispira A.St.-Hil.",8
"578","Helicteres ovata Lam.",9
"579","Henriettea succosa (Aubl.) DC.",1
"580","Heteropterys byrsonimifolia A.Juss.",5
"581","Hillia parasitica Jacq.",4
"582","Himatanthus bracteatus (A. DC.) Woodson",39
"583","Hirtella glandulosa Spreng.",10
"584","Hirtella gracilipes (Hook.f.) Prance",7
"585","Hirtella hebeclada Moric. ex DC.",28
"586","Hirtella insignis Briq. ex Prance",2
"587","Hirtella martiana Hook.f.",10
"588","Hirtella triandra Sw.",9
"589","Hololepis pedunculata (DC. ex Pers.) DC.",4
"590","Hortia brasiliana Vand. ex DC.",19
"591","Huberia laurina DC.",7
"592","Huberia ovalifolia DC.",2
"593","Humiria balsamifera (Aubl.) J.St.-Hil.",2
"594","Humiriastrum dentatum (Casar.) Cuatrec.",3
"595","Humiriastrum glaziovii (Urb.) Cuatrec.",2
"596","Hydrogaster trinervis Kuhlm.",2
"597","Hyeronima alchorneoides Allemão",27
"598","Hyeronima oblonga (Tul.) Müll.Arg.",4
"599","Hymenaea courbaril L.",26
"600","Hymenaea rubriflora Ducke",1
"601","Hymenolobium janeirense Kuhlm.",26
"602","Hyptidendron asperrimum (Spreng.) Harley",13
"603","Ilex affinis Gardner",8
"604","Ilex brasiliensis (Spreng.) Loes.",2
"605","Ilex cerasifolia Reissek",21
"606","Ilex conocarpa Reissek",2
"607","Ilex dumosa Reissek",6
"608","Ilex floribunda Reissek ex Maxim.",1
"609","Ilex lundii Warm.",3
"610","Ilex paraguariensis A.St.-Hil.",2
"611","Ilex pseudobuxus Reissek",3
"612","Ilex pseudovaccinium Reissek ex Maxim.",1
"613","Ilex sapotifolia Reissek",2
"614","Ilex taubertiana Loes.",1
"615","Ilex theezans Mart. ex Reissek",16
"616","Inga barbata Benth.",1
"617","Inga bullata Benth.",1
"618","Inga capitata Desv.",25
"619","Inga congesta T.D.Penn.",1
"620","Inga cordistipula Mart.",1
"621","Inga cylindrica (Vell.) Mart.",26
"622","Inga edulis Mart.",11
"623","Inga flagelliformis (Vell.) Mart.",20
"624","Inga hispida Schott ex Benth.",3
"625","Inga ingoides (Rich.) Willd.",15
"626","Inga lanceifolia Benth.",1
"627","Inga laurina (Sw.) Willd.",9
"628","Inga leptantha Benth.",7
"629","Inga marginata Willd.",28
"630","Inga platyptera Benth.",7
"631","Inga schinifolia Benth.",1
"632","Inga sellowiana Benth.",2
"633","Inga sessilis (Vell.) Mart.",11
"634","Inga striata Benth.",27
"635","Inga subnuda Salzm. ex Benth.",8
"636","Inga thibaudiana DC.",14
"637","Inga tripa",1
"638","Inga vera Willd.",22
"639","Inga vulpina Mart. ex Benth.",10
"640","Ixora brevifolia Benth.",17
"641","Ixora gardneriana Benth.",2
"642","Ixora venulosa Benth.",21
"643","Jacaranda caroba (Vell.) DC.",1
"644","Jacaranda macrantha Cham.",25
"645","Jacaranda obovata Cham.",2
"646","Jacaranda puberula Cham.",30
"647","Jacaratia heptaphylla (Vell.) A.DC.",20
"648","Jacaratia spinosa (Aubl.) A.DC.",5
"649","Joannesia princeps Vell.",26
"650","Kielmeyera altissima Saddi",5
"651","Kielmeyera excelsa Cambess.",4
"652","Kielmeyera lathrophyton Saddi",12
"653","Kielmeyera membranacea Casar.",2
"654","Kielmeyera petiolaris Mart. & Zucc.",4
"655","Lacistema hasslerianum Chodat",1
"656","Lacistema pubescens Mart.",31
"657","Lacistema robustum Schnizl.",20
"658","Lacmellea pauciflora (Kuhlm.) Markgr.",3
"659","Ladenbergia hexandra (Pohl) Klotzsch",2
"660","Lafoensia glyptocarpa Koehne",4
"661","Lafoensia pacari A.St.-Hil.",9
"662","Lamanonia grandistipularis (Taub.) Taub.",3
"663","Lamanonia ternata Vell.",18
"664","Laplacea fructicosa (Schrad.) Kobuski",15
"665","Leandra aurea (Cham.) Cogn.",7
"666","Leandra carassana (DC.) Cogn.",4
"667","Leandra fallax (Cham.) Cogn.",1
"668","Leandra fragilis Cogn.",1
"669","Leandra melastomoides Raddi",13
"670","Leandra quinquedentata (DC.) Cogn.",4
"671","Leandra regnellii (Triana) Cogn.",1
"672","Leandra variabilis Raddi",1
"673","Lecythis lanceolata Poir.",11
"674","Lecythis lurida (Miers) S.A.Mori",19
"675","Lecythis pisonis Cambess.",28
"676","Leptolobium dasycarpum Vogel",1
"677","Leucochloron incuriale (Vell.) Barneby & J.W.Grimes",1
"678","Licania apetala (E.Mey.) Fritsch",2
"679","Licania belemii Prance",1
"680","Licania hoehnei Pilg.",24
"681","Licania kunthiana Hook.f.",23
"682","Licania nitida Hook.f.",1
"683","Licania octandra (Hoffmanns. ex Roem. & Schult.) Kuntze",17
"684","Licania riedelii Prance",8
"685","Licania salzmannii (Hook.f.) Fritsch",1
"686","Licania spicata Hook.f.",12
"687","Licania tomentosa (Benth.) Fritsch",2
"688","Licaria armeniaca (Nees) Kosterm.",1
"689","Licaria bahiana Kurz",1
"690","Licaria guianensis Aubl.",15
"691","Lithrea molleoides (Vell.) Engl.",11
"692","Lonchocarpus cultratus (Vell.) A.M.G.Azevedo & H.C.Lima",26
"693","Lonchocarpus sericeus (Poir.) Kunth ex DC.",5
"694","Ludwigia elegans (Cambess.) H.Hara",5
"695","Luehea candicans Mart. & Zucc.",18
"696","Luehea divaricata Mart. & Zucc.",29
"697","Luehea grandiflora Mart. & Zucc.",27
"698","Mabea fistulifera Mart.",37
"699","Mabea glaziovii Pax & K.Hoffm.",1
"700","Mabea piriri Aubl.",8
"701","Machaerium acutifolium Vogel",3
"702","Machaerium brasiliense Vogel",40
"703","Machaerium cantarellianum Hoehne",6
"704","Machaerium floridum (Mart. ex Benth.) Ducke",3
"705","Machaerium fulvovenosum H.C.Lima",6
"706","Machaerium hirtum (Vell.) Stellfeld",23
"707","Machaerium incorruptibile (Vell.) Benth.",10
"708","Machaerium lanceolatum (Vell.) J.F.Macbr.",6
"709","Machaerium leucopterum Vogel",2
"710","Machaerium nyctitans (Vell.) Benth.",26
"711","Machaerium ovalifolium Glaz. ex Rudd",2
"712","Machaerium pedicellatum Vogel",11
"713","Machaerium ruddianum C.V.Mendonça & A.M.G.Azevedo",7
"714","Machaerium scleroxylon Tul.",6
"715","Machaerium stipitatum Vogel",27
"716","Machaerium villosum Vogel",10
"717","Maclura tinctoria (L.) D.Don ex Steud.",19
"718","Macrolobium latifolium Vogel",2
"719","Macropeplus ligustrinus (Tul.) Perkins",3
"720","Macropeplus schwackeanus (Perkins) I.Santos & Peixoto",3
"721","Macrothumia kuhlmannii (Sleumer) M.H.Alford",14
"722","Macrotorus utriculatus (Mart.) Perkins",2
"723","Magnolia ovata (A.St.-Hil.) Spreng.",7
"724","Malouetia cestroides (Nees ex Mart.) Müll.Arg.",7
"725","Manihot caerulescens Pohl",2
"726","Manihot grahamii Hook.",4
"727","Manihot pilosa Pohl",6
"728","Manilkara salzmannii (A.DC.) H.J.Lam",1
"729","Manilkara subsericea (Mart.) Dubard",5
"730","Maprounea brasiliensis A.St.-Hil.",1
"731","Maprounea guianensis Aubl.",24
"732","Margaritaria nobilis L.f.",15
"733","Margaritopsis astrellantha (Wernham) L.Andersson",1
"734","Marlierea clausseniana (O.Berg) Kiaersk.",21
"735","Marlierea excoriata Mart.",25
"736","Marlierea gardneriana (O.Berg) Nied.",1
"737","Marlierea laevigata (DC.) Kiaersk.",7
"738","Marlierea obscura O.Berg",3
"739","Marlierea obversa D.Legrand",2
"740","Marlierea racemosa (Vell.) Kiaersk.",9
"741","Marlierea regeliana O.Berg",5
"742","Marlierea silvatica (O.Berg) Kiaersk.",2
"743","Marlierea suaveolens Cambess.",1
"744","Marlierea sucrei G.M.Barroso & Peixoto",2
"745","Marlierea tomentosa Cambess.",5
"746","Matayba elaeagnoides Radlk.",2
"747","Matayba guianensis Aubl.",25
"748","Matayba juglandifolia (Cambess.) Radlk.",10
"749","Matayba marginata Radlk.",7
"750","Matayba mollis Radlk.",11
"751","Maytenus aquifolia Mart.",7
"752","Maytenus brasiliensis Mart.",2
"753","Maytenus communis Reissek",8
"754","Maytenus distichophylla Mart. ex Reissek",3
"755","Maytenus evonymoides Reissek",12
"756","Maytenus floribunda Reissek",7
"757","Maytenus gonoclada Mart.",35
"758","Maytenus patens Reissek",2
"759","Maytenus schumanniana Loes.",3
"760","Melanopsidium nigrum Colla",1
"761","Melanoxylon brauna Schott",41
"762","Melicoccus oliviformis Kunth",7
"763","Meliosma itatiaiae Urb.",1
"764","Meliosma sellowii Urb.",4
"765","Meriania claussenii (Naudin) Triana",1
"766","Metrodorea nigra A.St.-Hil.",8
"767","Metrodorea stipularis Mart.",1
"768","Miconia affinis DC.",1
"769","Miconia albicans (Sw.) Triana",2
"770","Miconia brunnea DC.",5
"771","Miconia budlejoides Triana",16
"772","Miconia cabucu Hoehne",1
"773","Miconia calvescens DC.",23
"774","Miconia caudigera DC.",1
"775","Miconia chamissois Naudin",5
"776","Miconia chartacea Triana",7
"777","Miconia cinerascens Miq.",2
"778","Miconia cinnamomifolia (DC.) Naudin",34
"779","Miconia corallina Spring",2
"780","Miconia cubatanensis Hoehne",8
"781","Miconia discolor DC.",3
"782","Miconia dodecandra Cogn.",2
"783","Miconia fasciculata Gardner",16
"784","Miconia holosericea (L.) DC.",11
"785","Miconia hyemalis A.St.-Hil. & Naudin",1
"786","Miconia latecrenata (DC.) Naudin",35
"787","Miconia lepidota DC.",8
"788","Miconia ligustroides (DC.) Naudin",12
"789","Miconia mendoncae Cogn.",1
"790","Miconia minutiflora (Bonpl.) DC.",6
"791","Miconia mirabilis (Aubl.) L.O.Williams",2
"792","Miconia pepericarpa DC.",9
"793","Miconia prasina (Sw.) DC.",22
"794","Miconia pusilliflora (DC.) Naudin",5
"795","Miconia rimalis Naudin",5
"796","Miconia sellowiana Naudin",11
"797","Miconia serrulata (DC.) Naudin",3
"798","Miconia splendens (Sw.) Griseb.",2
"799","Miconia theaezans Cogn.",8
"800","Miconia tomentosa (Rich.) D.Don",1
"801","Miconia trianae Cogn.",6
"802","Miconia tristis Spring",3
"803","Miconia urophylla DC.",5
"804","Miconia valtheri Naudin",8
"805","Miconia willdenowii Klotzsch ex Naudin",2
"806","Micrandra elata (Didr.) Müll.Arg.",1
"807","Micropholis crassipedicellata (Mart. & Eichler) Pierre",2
"808","Micropholis gardneriana (A.DC.) Pierre",27
"809","Micropholis guyanensis (A.DC.) Pierre",1
"810","Micropholis venulosa (Mart. & Eichler) Pierre",5
"811","Mimosa artemisiana Heringer & Paula",5
"812","Mimosa bimucronata (DC.) Kuntze",1
"813","Mimosa tenuiflora (Willd.) Poir.",1
"814","Moldenhawera floribunda Schrad.",3
"815","Mollinedia argyrogyna Perkins",12
"816","Mollinedia fruticulosa Perkins",1
"817","Mollinedia glabra (Spreng.) Perkins",4
"818","Mollinedia heteranthera Perkins",1
"819","Mollinedia lamprophylla Perkins",2
"820","Mollinedia longifolia Perkins",2
"821","Mollinedia marqueteana Peixoto",2
"822","Mollinedia micrantha Perkins",13
"823","Mollinedia oligantha Perkins",3
"824","Mollinedia ovata Ruiz & Pav.",1
"825","Mollinedia schottiana (Spreng.) Perkins",15
"826","Mollinedia widgrenii A.DC.",8
"827","Molopanthera paniculata Turcz.",11
"828","Moquinia racemosa (Spreng.) DC.",1
"829","Moquiniastrum blanchetianum (DC.) G. Sancho",1
"830","Moquiniastrum paniculatum (Less.) G. Sancho",2
"831","Moquiniastrum polymorphum (Less.) G. Sancho",9
"832","Mouriri arborea Gardner",2
"833","Mouriri chamissoana Cogn.",2
"834","Mouriri glazioviana Cogn.",16
"835","Mouriri guianensis Aubl.",1
"836","Muellera campestris (Mart. ex Benth.) M.J. Silva & A.M.G. Azevedo",7
"837","Muellera virgilioides (Vogel) M.J. Silva & A.M.G. Azevedo",2
"838","Myracrodruon urundeuva Allemão",2
"839","Myrceugenia acutiflora (Kiaersk.) D.Legrand & Kausel",1
"840","Myrceugenia alpigena (DC.) Landrum",6
"841","Myrceugenia miersiana (Gardner) D.Legrand & Kausel",4
"842","Myrceugenia myrcioides (Cambess.) O.Berg",3
"843","Myrceugenia ovalifolia (O.Berg) Landrum",1
"844","Myrceugenia oxysepala (Burret) D.Legrand & Kausel",2
"845","Myrceugenia pilotantha (Kiaersk.) Landrum",1
"846","Myrcia aethusa (O.Berg) N.Silveira",2
"847","Myrcia amazonica DC.",31
"848","Myrcia anceps (Spreng.) O.Berg",9
"849","Myrcia bergiana O.Berg",1
"850","Myrcia brasiliensis Kiaersk.",1
"851","Myrcia cordiifolia DC.",5
"852","Myrcia crocea Kiaersk.",14
"853","Myrcia eriocalyx DC.",6
"854","Myrcia eriopus DC.",12
"855","Myrcia eumecephylla (O.Berg) Nied.",3
"856","Myrcia fenzliana O.Berg",7
"857","Myrcia follii G.M.Barroso & Peixoto",5
"858","Myrcia guianensis (Aubl.) DC.",21
"859","Myrcia hartwegiana (O.Berg) Kiaersk.",3
"860","Myrcia hebepetala DC.",29
"861","Myrcia isaiana G.M.Barroso & Peixoto",1
"862","Myrcia laruotteana Cambess.",15
"863","Myrcia lineata (O.Berg) Nied.",2
"864","Myrcia mischophylla Kiaersk.",10
"865","Myrcia multiflora (Lam.) DC.",27
"866","Myrcia mutabilis (O.Berg) N.Silveira",6
"867","Myrcia obovata (O.Berg) Nied.",9
"868","Myrcia pubescens DC.",1
"869","Myrcia pubiflora DC.",6
"870","Myrcia pulchra (O.Berg) Kiaersk.",16
"871","Myrcia racemosa (O.Berg) Kiaersk.",1
"872","Myrcia retorta Cambess.",5
"873","Myrcia spectabilis DC.",7
"874","Myrcia splendens (Sw.) DC.",45
"875","Myrcia subverticillaris (O.Berg) Kiaersk.",1
"876","Myrcia tenuivenosa Kiaersk.",1
"877","Myrcia tomentosa (Aubl.) DC.",28
"878","Myrcia venulosa DC.",7
"879","Myrcianthes pungens (O.Berg) D.Legrand",2
"880","Myrciaria cuspidata O.Berg",3
"881","Myrciaria delicatula (DC.) O.Berg",1
"882","Myrciaria disticha O.Berg",11
"883","Myrciaria floribunda (H.West ex Willd.) O.Berg",36
"884","Myrciaria glanduliflora (Kiaersk.) Mattos & D.Legrand",6
"885","Myrciaria glomerata O.Berg",12
"886","Myrciaria strigipes O.Berg",1
"887","Myrciaria tenella (DC.) O.Berg",11
"888","Myrocarpus fastigiatus Allemão",3
"889","Myrocarpus frondosus Allemão",9
"890","Myroxylon peruiferum L.f.",7
"891","Myrsine coriacea (Sw.) R.Br. ex Roem. & Schult.",20
"892","Myrsine emarginella Miq.",2
"893","Myrsine gardneriana A.DC.",12
"894","Myrsine guianensis (Aubl.) Kuntze",1
"895","Myrsine lancifolia Mart.",3
"896","Myrsine lineata (Mez) Imkhan.",1
"897","Myrsine parvula (Mez) Otegui",1
"898","Myrsine squarrosa (Mez) M.F.Freitas & Kin.-Gouv.",2
"899","Myrsine umbellata Mart.",31
"900","Myrsine venosa A.DC.",11
"901","Myrsine villosissima Mart.",2
"902","Naucleopsis oblongifolia (Kuhlm.) Carauta",15
"903","Nectandra cissiflora Nees",8
"904","Nectandra grandiflora Nees",8
"905","Nectandra lanceolata Nees",22
"906","Nectandra leucantha Nees",3
"907","Nectandra megapotamica (Spreng.) Mez",12
"908","Nectandra membranacea (Sw.) Griseb.",13
"909","Nectandra nitidula Nees",8
"910","Nectandra oppositifolia Nees",36
"911","Nectandra psammophila Nees",1
"912","Nectandra puberula (Schott) Nees",4
"913","Nectandra reticulata (Ruiz & Pav.) Mez",13
"914","Neea floribunda Poepp. & Endl.",3
"915","Neea verticillata Ruiz & Pav.",1
"916","Neomitranthes obscura (DC.) N.Silveira",1
"917","Neomitranthes sctictophylla (G.M.Barroso & Peixoto) M.Souza",1
"918","Neoraputia alba (Nees & Mart.) Emmerich ex Kallunki",16
"919","Neoraputia magnifica (Engl.) Emmerich ex Kallunki",1
"920","Ocotea aciphylla (Nees & Mart.) Mez",15
"921","Ocotea aniboides (Meisn.) Mez",2
"922","Ocotea bicolor Vattimo-Gil",2
"923","Ocotea brachybotrya (Meisn.) Mez",19
"924","Ocotea complicata (Meisn.) Mez",5
"925","Ocotea confertiflora (Meisn.) Mez",1
"926","Ocotea corymbosa (Meisn.) Mez",20
"927","Ocotea daphnifolia (Meisn.) Mez",1
"928","Ocotea diospyrifolia (Meisn.) Mez",18
"929","Ocotea dispersa (Nees & Mart.) Mez",24
"930","Ocotea divaricata (Nees) Mez",32
"931","Ocotea glaziovii Mez",13
"932","Ocotea glomerata (Nees) Mez",4
"933","Ocotea indecora (Schott) Mez",22
"934","Ocotea insignis Mez",1
"935","Ocotea lanata (Nees & Mart.) Mez",1
"936","Ocotea lancifolia (Schott) Mez",8
"937","Ocotea laxa (Nees) Mez",21
"938","Ocotea longifolia Kunth",6
"939","Ocotea mandioccana A.Quinet",2
"940","Ocotea minarum (Nees & Mart.) Mez",10
"941","Ocotea nitida (Meisn.) Rohwer",8
"942","Ocotea notata (Nees & Mart.) Mez",7
"943","Ocotea nutans (Nees) Mez",7
"944","Ocotea odorifera (Vell.) Rohwer",36
"945","Ocotea percoriacea Kosterm.",5
"946","Ocotea pomaderroides (Meisn.) Mez",7
"947","Ocotea puberula (Rich.) Nees",20
"948","Ocotea pulchella (Nees & Mart.) Mez",5
"949","Ocotea silvestris Vattimo-Gil",8
"950","Ocotea spectabilis (Meisn.) Mez",1
"951","Ocotea spixiana (Nees) Mez",6
"952","Ocotea tabacifolia (Meisn.) Rohwer",1
"953","Ocotea tenuiflora (Nees) Mez",8
"954","Ocotea tristis (Nees & Mart.) Mez",3
"955","Ocotea velloziana (Meisn.) Mez",8
"956","Ocotea velutina (Nees) Rohwer",14
"957","Ocotea villosa Kosterm.",2
"958","Ocotea virgultosa (Nees) Mart.",2
"959","Opuntia monacantha Haw.",1
"960","Oreopanax capitatus (Jacq.) Decne. & Planch.",1
"961","Ormosia arborea (Vell.) Harms",15
"962","Ormosia fastigiata Tul.",2
"963","Ormosia nitida Vogel",1
"964","Ossaea angustifolia (DC.) Triana",1
"965","Ossaea marginata (Desr.) Triana",1
"966","Ouratea castaneifolia (DC.) Engl.",11
"967","Ouratea floribunda (A.St.-Hil.) Engl.",1
"968","Ouratea hexasperma (A.St.-Hil.) Baill.",5
"969","Ouratea parviflora (A.DC.) Baill.",6
"970","Ouratea polygyna Engl.",15
"971","Ouratea salicifolia (A.St.-Hil. & Tul.) Engl.",12
"972","Ouratea semiserrata (Mart. & Nees) Engl.",21
"973","Ouratea vaccinioides (A.St.-Hil. & Tul.) Engl.",1
"974","Oxandra martiana (Schltdl.) R.E.Fr.",12
"975","Oxandra nitida R.E.Fr.",3
"976","Pachira endecaphylla (Vell.) Carv.-Sobr.",5
"977","Pachira glabra Pasq.",3
"978","Pachystroma longifolium (Nees) I.M.Johnst.",12
"979","Palicourea blanchetiana Schltdl.",2
"980","Palicourea crocea (Sw.) Roem. & Schult.",1
"981","Panopsis multiflora (Schott) Ducke",3
"982","Paradrypetes ilicifolia Kuhlm.",10
"983","Parapiptadenia pterosperma (Benth.) Brenan",14
"984","Paratecoma peroba (Record) Kuhlm.",9
"985","Parinari excelsa Sabine",3
"986","Parkia pendula (Willd.) Benth. ex Walp.",1
"987","Pausandra morisiana (Casar.) Radlk.",5
"988","Pavonia malacophylla (Link & Otto) Garcke",2
"989","Peltogyne angustiflora Ducke",3
"990","Peltogyne discolor Vogel",2
"991","Peltogyne pauciflora Benth.",1
"992","Peltophorum dubium (Spreng.) Taub.",26
"993","Pera anisotricha Müll. Arg.",10
"994","Pera glabrata (Schott) Poepp. ex Baill.",38
"995","Pera heteranthera (Schrank) I.M.Johnst.",20
"996","Pereskia aculeata Mill.",8
"997","Pereskia grandifolia Haw.",8
"998","Peritassa flaviflora A.C.Sm.",5
"999","Persea alba Nees & Mart.",5
"1000","Persea fulva L.E.Kopp",11
"1001","Persea major (Meisn.) L.E.Kopp",3
"1002","Persea rufotomentosa Nees & Mart.",8
"1003","Persea venosa Nees & Mart.",18
"1004","Persea willdenovii Kosterm.",10
"1005","Phyllanthus acuminatus Vahl",2
"1006","Phyllanthus juglandifolius Willd.",3
"1007","Phyllostemonodaphne geminiflora (Mez) Kosterm.",9
"1008","Phytolacca dioica L.",2
"1009","Picramnia ciliata Mart.",4
"1010","Picramnia gardneri Planch.",3
"1011","Picramnia glazioviana Engl.",19
"1012","Picramnia parvifolia Engl.",10
"1013","Picramnia ramiflora Planch.",9
"1014","Picramnia sellowii Planch.",4
"1015","Picrasma crenata (Vell.) Engl.",4
"1016","Pilocarpus giganteus Engl.",21
"1017","Pilocarpus grandiflorus Engl.",1
"1018","Pilocarpus riedelianus Engl.",4
"1019","Pilocarpus spicatus A.St.-Hil.",2
"1020","Pimenta pseudocaryophyllus (Gomes) Landrum",22
"1021","Piper aduncum L.",22
"1022","Piper amalago L.",18
"1023","Piper arboreum Aubl.",35
"1024","Piper cernuum Vell.",22
"1025","Piper hispidum Sw.",4
"1026","Piper macedoi Yunck.",2
"1027","Piper mollicomum Kunth",17
"1028","Piper richardiifolium Kunth",2
"1029","Piper tectoniifolium Kunth",1
"1030","Piper tuberculatum Jacq.",4
"1031","Piptadenia gonoacantha (Mart.) J.F.Macbr.",39
"1032","Piptadenia paniculata Benth.",5
"1033","Piptocarpha axillaris (Less.) Baker",2
"1034","Piptocarpha macropoda (DC.) Baker",31
"1035","Pisonia zapallo Griseb.",12
"1036","Plathymenia reticulata Benth.",30
"1037","Platycyamus regnellii Benth.",19
"1038","Platymiscium floribundum Vogel",19
"1039","Platymiscium pubescens Micheli",19
"1040","Platypodium elegans Vogel",31
"1041","Plenckia populnea Reissek",2
"1042","Plinia cauliflora (Mart.) Kausel",12
"1043","Plinia peruviana (Poir.) Govaerts",3
"1044","Plinia rivularis (Cambess.) Rotman",3
"1045","Podocarpus sellowii Klotzsch ex Endl.",5
"1046","Poecilanthe falcata (Vell.) Heringer",1
"1047","Poeppigia procera C.Presl",2
"1048","Pogonophora schomburgkiana Miers ex Benth.",23
"1049","Poincianella pluviosa (DC.) L.P.Queiroz",1
"1050","Posoqueria acutifolia Mart.",1
"1051","Posoqueria latifolia (Rudge) Schult.",24
"1052","Posoqueria longiflora Aubl.",1
"1053","Pourouma guianensis Aubl.",28
"1054","Pourouma velutina Mart. ex Miq.",3
"1055","Pouteria bangii (Rusby) T.D.Penn.",5
"1056","Pouteria bapeba T.D.Penn.",1
"1057","Pouteria bullata (S.Moore) Baehni",1
"1058","Pouteria butyrocarpa (Kuhlm.) T.D.Penn.",3
"1059","Pouteria caimito (Ruiz & Pav.) Radlk.",17
"1060","Pouteria coelomatica Rizzini",2
"1061","Pouteria durlandii (Standl.) Baehni",1
"1062","Pouteria gardneri (Mart. & Miq.) Baehni",16
"1063","Pouteria gardneriana (A.DC.) Radlk.",5
"1064","Pouteria glomerata (Miq.) Radlk.",2
"1065","Pouteria grandiflora (A.DC.) Baehni",12
"1066","Pouteria guianensis Aubl.",13
"1067","Pouteria macrophylla (Lam.) Eyma",5
"1068","Pouteria microstrigosa T.D.Penn.",9
"1069","Pouteria pachycalyx T.D.Penn.",6
"1070","Pouteria ramiflora (Mart.) Radlk.",3
"1071","Pouteria reticulata (Engl.) Eyma",7
"1072","Pouteria torta (Mart.) Radlk.",20
"1073","Pouteria venosa (Mart.) Baehni",2
"1074","Pradosia lactescens (Vell.) Radlk.",12
"1075","Prockia crucis P.Browne ex L.",13
"1076","Protium brasiliense (Spreng.) Engl.",18
"1077","Protium heptaphyllum (Aubl.) Marchand",37
"1078","Protium icicariba (DC.) Marchand",2
"1079","Protium spruceanum (Benth.) Engl.",26
"1080","Protium warmingianum Marchand",25
"1081","Protium widgrenii Engl.",3
"1082","Prunus myrtifolia (L.) Urb.",30
"1083","Pseudobombax grandiflorum (Cav.) A.Robyns",35
"1084","Pseudolmedia hirtula Kuhlm.",3
"1085","Pseudopiptadenia contorta (DC.) G.P.Lewis & M.P.Lima",32
"1086","Pseudopiptadenia leptostachya (Benth.) Rauschert",4
"1087","Pseudopiptadenia warmingii (Benth.) G.P.Lewis & M.P.Lima",12
"1088","Psidium brownianum Mart. ex DC.",3
"1089","Psidium cattleianum Sabine",11
"1090","Psidium guajava L.",14
"1091","Psidium guineense Sw.",19
"1092","Psidium myrtoides O.Berg",13
"1093","Psidium oligospermum Mart. ex DC.",1
"1094","Psidium rufum Mart. ex DC.",22
"1095","Psidium sartorianum (O.Berg) Nied.",3
"1096","Psychotria carthagenensis Jacq.",32
"1097","Psychotria cupularis (Müll.Arg.) Standl.",3
"1098","Psychotria deflexa DC.",8
"1099","Psychotria forsteronioides Müll.Arg.",5
"1100","Psychotria hastisepala Müll.Arg.",7
"1101","Psychotria myriantha Müll.Arg.",3
"1102","Psychotria nemorosa Gardner",2
"1103","Psychotria nuda (Cham. & Schltdl.) Wawra",13
"1104","Psychotria pallens Gardner",1
"1105","Psychotria schlechtendaliana (Müll.Arg.) Müll.Arg.",1
"1106","Psychotria suterella Müll.Arg.",4
"1107","Psychotria vellosiana Benth.",36
"1108","Pterocarpus rohrii Vahl",27
"1109","Pterogyne nitens Tul.",8
"1110","Qualea cordata (Mart.) Spreng.",6
"1111","Qualea cryptantha (Spreng.) Warm.",8
"1112","Qualea dichotoma (Mart.) Warm.",4
"1113","Qualea gestasiana A.St.-Hil.",9
"1114","Qualea megalocarpa Stafleu",5
"1115","Qualea multiflora Mart.",17
"1116","Qualea selloi Warm.",1
"1117","Quararibea turbinata (Sw.) Poir.",12
"1118","Quiina glazovii Engl.",4
"1119","Quiina magallano-gomesii Schwacke",2
"1120","Ramisia brasiliensis Oliv.",14
"1121","Randia armata (Sw.) DC.",18
"1122","Rauia resinosa Nees & Mart.",2
"1123","Remijia ferruginea (A.St.-Hil.) DC.",9
"1124","Rhamnidium elaeocarpum Reissek",15
"1125","Rhamnus sphaerosperma Sw.",5
"1126","Rhodostemonodaphne capixabensis J.B. Baitello & Coe-Teix.",2
"1127","Rhodostemonodaphne macrocalyx (Meisn.) Rohwer ex Madriñán",13
"1128","Richeria grandis Vahl",2
"1129","Rinorea bahiensis (Moric.) Kuntze",3
"1130","Rinorea guianensis Aubl.",3
"1131","Roupala longepetiolata Pohl",3
"1132","Roupala meisneri Sleumer",1
"1133","Roupala montana Aubl.",28
"1134","Rudgea coriacea (Spreng.) K.Schum.",1
"1135","Rudgea jasminoides (Cham.) Müll.Arg.",25
"1136","Rudgea recurva Müll.Arg.",1
"1137","Rudgea reticulata Benth.",6
"1138","Rudgea sessilis (Vell.) Müll.Arg.",2
"1139","Rudgea viburnoides (Cham.) Benth.",2
"1140","Ruprechtia laxiflora Meisn.",3
"1141","Rustia formosa (Cham. & Schltdl.) Klotzsch",1
"1142","Sacoglottis mattogrossensis Malme",4
"1143","Salacia arborea (Schrank) Peyr.",3
"1144","Salacia elliptica (Mart. ex Schult.) G.Don",10
"1145","Salacia grandifolia (Mart. ex Schult.) G.Don",2
"1146","Salix humboldtiana Willd.",1
"1147","Samanea inopinata (Harms) Barneby & J.W.Grimes",2
"1148","Sapindus saponaria L.",1
"1149","Sapium glandulosum (L.) Morong",25
"1150","Sapium haematospermum Müll.Arg.",1
"1151","Sapium sellowianum (Müll.Arg.) Klotzsch ex Baill.",2
"1152","Sarcaulus brasiliensis (A.DC.) Eyma",2
"1153","Savia dictyocarpa Müll.Arg.",1
"1154","Savia sessiliflora (Sw.) Willd.",1
"1155","Schefflera calva (Cham.) Frodin & Fiaschi",13
"1156","Schefflera longipetiolata (Pohl ex DC.) Frodin & Fiaschi",2
"1157","Schefflera morototoni (Aubl.) Maguire et al.",27
