"","species","n.occurrences"
"126","Bathysa mendoncaei K.Schum.",10
"127","Bathysa nicholsonii K.Schum.",29
"128","Bauhinia forficata Link",23
"129","Bauhinia fusconervis (Bong.) Steud.",19
"130","Bauhinia longifolia (Bong.) Steud.",26
"131","Bauhinia ovata (Bong.) Vogel",8
"132","Bauhinia pulchella Benth.",1
"133","Bauhinia rufa (Bong.) Steud.",3
"134","Beilschmiedia fluminensis Kosterm.",1
"135","Beilschmiedia rigida (Mez) Kosterm.",1
"136","Beilschmiedia taubertiana (Schwacke & Mez) Kosterm.",9
"137","Bernardinia fluminensis (Gardner) Planch.",6
"138","Bixa arborea Huber",13
"139","Bixa orellana L.",8
"140","Blepharocalyx eggersii (Kiaersk.) Landrum",1
"141","Blepharocalyx salicifolius (Kunth) O.Berg",17
"142","Boehmeria caudata Sw.",1
"143","Bougainvillea glabra Choisy",1
"144","Bougainvillea spectabilis Willd.",7
"145","Bowdichia virgilioides Kunth",16
"146","Brasiliocroton mamoninha P.E.Berry & Cordeiro",8
"147","Brasiliopuntia brasiliensis (Willd.) A.Berger",6
"148","Bredemeyera hebeclada (DC.) J.F.B.Pastore",5
"149","Brosimum gaudichaudii Trécul",2
"150","Brosimum glaziovii Taub.",12
"151","Brosimum guianense (Aubl.) Huber",28
"152","Brosimum lactescens (S.Moore) C.C.Berg",19
"153","Brosimum rubescens Taub.",1
"154","Brugmansia suaveolens (Willd.) Bercht. & J.Presl",2
"155","Buchenavia hoehneana N.F.Mattos",5
"156","Buchenavia tetraphylla (Aubl.) R.A.Howard",8
"157","Buddleja stachyoides Cham. & Schltdl.",4
"158","Bunchosia maritima (Vell.) J.F.Macbr.",3
"159","Byrsonima cacaophila W.R.Anderson",1
"160","Byrsonima crassifolia (L.) Kunth",7
"161","Byrsonima crispa A.Juss.",12
"162","Byrsonima intermedia A.Juss.",1
"163","Byrsonima laxiflora Griseb.",20
"164","Byrsonima ligustrifolia A.Juss.",1
"165","Byrsonima myricifolia Griseb.",1
"166","Byrsonima sericea DC.",30
"167","Byrsonima stipulacea A.Juss.",12
"168","Byrsonima variabilis A.Juss.",5
"169","Cabralea canjerana (Vell.) Mart.",34
"170","Calliandra asplenioides (Nees) Renvoize",2
"171","Callianthe bedfordiana (Hook.) Donnell",2
"172","Callianthe rufinerva (A. St.Hil.) Donnel",2
"173","Callisthene castellanosii H.F.Martins",2
"174","Callisthene major Mart. & Zucc.",6
"175","Calophyllum brasiliense Cambess.",22
"176","Calotropis procera (Aiton) W.T.Aiton",4
"177","Calyptranthes clusiifolia O.Berg",29
"178","Calyptranthes grammica (Spreng.) D.Legrand",2
"179","Calyptranthes grandifolia O.Berg",6
"180","Calyptranthes lucida Mart. ex DC.",2
"181","Calyptranthes pulchella DC.",6
"182","Calyptranthes widgreniana O.Berg",12
"183","Campomanesia dichotoma (O.Berg) Mattos",2
"184","Campomanesia espiritosantensis Landrum",2
"185","Campomanesia eugenioides (Cambess.) D.Legrand ex Landrum",10
